'GavinWilliamson','Gavin Williamson'
'GavNewlandsSNP','Gavin Newlands'
'Gedk','Ged Killen'
'Geoffrey_Cox','Geoffrey Cox QC'
'GeorgeFreemanMP','George Freeman'
'GeraintDaviesMP','Geraint Davies'
'GeraldJonesLAB','Gerald Jones'
'gildernewm','Michelle Gildernew'
'GilesWatling','Giles Watling'
'GillFurnissMP','Gill Furniss'
'GillianKeegan','Gillian Keegan'
'GlindonMary','Mary Glindon'
'GloriaDePiero','Gloria De Piero'
'GlynDavies','Glyn Davies'
'GordonMarsden','Gordon Marsden'
'GradySNP','Patrick Grady'
'grahamemorris','Grahame Morris'
'GrahamJones_MP','Graham Jones'
'grahamstuart','Graham Stuart'
'grantshapps','Grant Shapps'
'GregClarkMP','Greg Clark'
'GregHands','Greg Hands'
'GregKnight','Sir Greg Knight'
'GRobinsonDUP','Gavin Robinson'
'GutoAberconwy','Guto Bebb'
'GuyOpperman','Guy Opperman'
'GwynneMP','Andrew J. Gwynne'
'HackneyAbbott','Diane Abbott'
'halfon4harlowMP','Robert Halfon'
'hammersmithandy','Andy Slaughter'
'HannahB4LiviMP','Hannah Bardell'
'HarrietHarman','Harriet Harman'
'hbaldwin','Harriett Baldwin'
'HeatherWheeler','Heather Wheeler'
'Heidi_LDN','Heidi Alexander'
'heidiallen75','Heidi Allen'
'Helen_Whately','Helen Whately'
'HelenGoodmanMP','Helen Goodman'
'HelenGrantMP','Helen Grant'
'helenhayes_','Helen Hayes'
'HelenJonesMP','Helen Jones'
'HenrySmithUK','Henry Smith'
'hilarybennmp','Hilary Benn'
'HollyLynch5','Holly Lynch'
'HuddlestonNigel','Nigel Huddleston'
'HughGaffneyMP','Hugh Gaffney'
'HugoSwire','Hugo Swire'
'HuwMerriman','Huw Merriman'
'HywelPlaidCymru','Hywel Williams'
'iainastewart','Iain Stewart'
'IanAustinMP','Ian Austin'
'IanBlackfordMP','Ian Blackford'
'IanCLucas','Ian Lucas'
'IanLaveryMP','Ian Lavery'
'IanMearnsMP','Ian Mearns'
'Imran_HussainMP','Imran Hussain'
'IoWBobSeely','Bob Seely'
'IvanLewis_MP','Ivan Lewis'
'J_Donaldson_MP','Jeffrey Donaldson'
'JackDromeyMP','Jack Dromey'
'JackieDP','Jackie Doyle-Price'
'JackLopresti','Jack Lopresti'
'JakeBerry','Jake Berry'
'JamesCleverly','James Cleverly'
'JamesDuddridge','James Duddridge'
'JamesFrith','James Frith'
'JamesMorris','James Morris'
'Jamie4North','Jamie Stone'
'jarrowstevemp','Stephen Hepburn'
'JBrokenshire','James Brokenshire'
'jc4southsuffolk','James Cartlidge'
'JDjanogly','Jonathan Djanogly'
'JeffSmithetc','Jeff Smith'
'JennyChapman','Jenny Chapman'
'Jeremy_Hunt','Jeremy Hunt'
'jeremycorbyn','Jeremy Corbyn'
'JeremyLefroy','Jeremy Lefroy'
'Jesse_Norman','Jesse Norman'
'jessicamordenmp','Jessica Morden'
'jessphillips','Jess Phillips'
'JGray','James Gray'
'JHowellUK','John Howell'
'jimforcovsouth','Jim Cunningham'
'JimfromOldham','Jim McMahon'
'joannaccherry','Joanna Cherry QC'
'joanryanEnfield','Joan Ryan'
'Jochurchill4','Jo Churchill'
'John2Win','John Lamont'
'JohnCryerMP','John Cryer'
'JohnGlenUK','John Glen'
